episode	text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
s03e16b	 woman! oh, my	['woman', 'oh', 'my']	[35.63, 36.75, 36.989998]	[0.5, 0.23999799999999993, 0.24000199999999694]
s03e16b	 god. oh. i knew	['god', 'oh', 'god', 'i', 'knew']	[37.23, 37.87, 38.03, 38.27, 38.43]	[0.5, 0.1600000000000037, 0.240000000000002, 0.1599999999999966, 0.240000000000002]
s03e16b	 something had to be wrong because	['something', 'had', 'to', 'be', 'wrong', 'because']	[38.67, 38.989998, 39.15, 39.309998, 39.47, 39.79]	[0.31999799999999823, 0.16000199999999865, 0.15999800000000164, 0.16000199999999865, 0.3200000000000003, 0.3200000000000003]
s03e16b	 my fingernails did not grow at	['my', 'fingernails', 'did', 'not', 'grow', 'at']	[40.11, 40.27, 40.91, 41.07, 41.23, 41.47]	[0.1600000000000037, 0.5, 0.1600000000000037, 0.1599999999999966, 0.240000000000002, 0.15999700000000416]
s03e16b	 all yesterday.	['all', 'yesterday']	[41.629997, 41.79]	[0.16000299999999612, 0.33500000000000085]
s03e16b		[]	[]	[]
s03e16b	 yeah, well, i guess they had	['yeah', 'well', 'i', 'guess', 'they', 'had']	[44.525, 44.845, 45.085, 45.245, 45.485, 45.645]	[0.3200000000000003, 0.240000000000002, 0.1599999999999966, 0.240000000000002, 0.1600000000000037, 0.3999999999999986]
s03e16b	 a fight and he got drunk...	['a', 'fight', 'and', 'he', 'got', 'drunk']	[46.045, 46.205, 46.525, 46.685, 46.925, 47.165]	[0.1599999999999966, 0.3200000000000003, 0.1600000000000037, 0.23999999999999488, 0.240000000000002, 0.5]
s03e16b	 you guys knew about this	['you', 'guys', 'knew', 'about', 'that']	[47.725, 48.045, 48.364998, 48.605, 48.845]	[0.3200000000000003, 0.31999799999999823, 0.24000199999999694, 0.240000000000002, 0.240000000000002]
s03e16b	 and you didn't tell us?!	"['and', 'he', ""didn't"", 'tell', 'us']"	[49.085, 49.245, 49.325, 49.730003, 49.890003]	[0.1599999999999966, 0.0800000000000054, 0.32499999999999574, 0.1599999999999966, 0.5]
s03e16b	 he had sex and we get hit on our	['we', 'had', 'sex', 'and', 'we', 'get', 'hit', 'in', 'our']	[50.530003, 50.690002, 50.93, 51.25, 51.33, 51.41, 51.57, 51.730003, 51.890003]	[0.15999899999999911, 0.23999799999999993, 0.3200000000000003, 0.0799999999999983, 0.0799999999999983, 0.1600000000000037, 0.16000300000000323, 0.1599999999999966, 0.1599999999999966]
s03e16b	 heads.	['heads']	[52.050003]	[0.5]
s03e16b	 i want you to leave. no! no!	['you', 'know', 'what', 'i', 'want', 'you', 'to', 'leave', 'get', 'out', 'of']	[53.57, 53.730003, 53.81, 54.050003, 54.13, 54.29, 54.45, 54.530003, 54.77, 54.93, 55.010002]	[0.16000300000000323, 0.07999699999999876, 0.24000299999999442, 0.07999700000000587, 0.1599999999999966, 0.1600000000000037, 0.08000299999999783, 0.23999700000000246, 0.1599999999999966, 0.08000200000000035, 0.07999800000000334]
s03e16b	 just get out. now!	['here', 'just', 'get', 'out', 'no', 'no']	[55.09, 55.33, 55.49, 55.65, 55.89, 56.29]	[0.23999999999999488, 0.1600000000000037, 0.1599999999999966, 0.240000000000002, 0.3999999999999986, 0.3200000000000003]
s03e16b	 i want to stay. i want to talk	['i', 'wanna', 'stay', 'i', 'wanna', 'talk']	[56.61, 56.690002, 56.93, 57.25, 57.33, 57.65]	[0.08000200000000035, 0.23999799999999993, 0.3200000000000003, 0.0799999999999983, 0.3200000000000003, 0.240000000000002]
s03e16b	 about this. okay.	['about', 'this', 'okay']	[57.89, 58.13, 58.530003]	[0.240000000000002, 0.4000029999999981, 0.5]
s03e16b		['right']	[59.245]	[0.5]
s03e16b	 all right. how	['alright', 'how']	[60.940453, 61.78818]	[0.5, 0.5]
s03e16b	 was she?	['was', 'she']	[62.63591, 63.483635]	[0.5, 0.5]
s03e16b	 uh oh.	['uh-oh']	[64.33136]	[0.5]
s03e16b	 what? was	['what', 'was']	[65.17909, 66.02682]	[0.5, 0.5]
s03e16b	 she good?	['she', 'good']	[66.87454, 67.722275]	[0.5, 0.5]
s03e16b	 don't answer	"[""don't"", 'answer']"	[68.73, 68.97]	[0.23999999999999488, 0.5]
s03e16b	 that.	['that']	[70.89]	[0.5]
s03e16b		[]	[]	[]
s03e16b	  come on, ross. you said you wanted to talk	['come', 'on', 'rose', 'you', 'said', 'you', 'wanted', 'to', 'talk']	[72.81, 73.05, 73.29, 73.53, 73.69, 73.85, 74.01, 74.17, 74.25]	[0.23999999999999488, 0.2400000000000091, 0.23999999999999488, 0.1599999999999966, 0.1599999999999966, 0.1600000000000108, 0.1599999999999966, 0.0799999999999983, 0.1599960000000067]
s03e16b	 about it. let's talk about it!	"['about', 'it', ""let's"", 'talk', 'about', 'it']"	[74.409996, 74.65, 74.81, 74.97, 75.21, 75.45]	[0.240003999999999, 0.1599999999999966, 0.1599999999999966, 0.23999999999999488, 0.2400000000000091, 0.34499999999999886]
s03e16b	 how was she?	['how', 'was', 'she']	[75.875, 76.115, 76.275]	[0.23999999999999488, 0.1600000000000108, 0.5]
s03e16b	 she was...	['she', 'was']	[78.115, 78.354996]	[0.23999600000000498, 0.5]
s03e16b	 awful. horrible. she was not	['awful', 'she', 'was', 'not']	[78.994995, 79.555, 79.715, 80.034996]	[0.5, 0.1599999999999966, 0.3199960000000033, 0.240003999999999]
s03e16b	 good. nothing compared	['good', 'not', 'good', 'compared']	[80.275, 80.595, 80.835, 81.314995]	[0.3199999999999932, 0.23999999999999488, 0.4000000000000057, 0.48000500000000557]
s03e16b	 to you.	['to', 'you']	[81.795, 81.955]	[0.1599999999999966, 0.5]
s03e16b	 she... she	['she', 'she']	[83.795, 84.515]	[0.5, 0.3199999999999932]
s03e16b	 was different.	['was', 'different', 'right']	[84.835, 85.075, 85.75]	[0.2400000000000091, 0.5, 0.24000499999999647]
s03e16b	 oh... uh	['oh', 'oh']	[86.23, 87.15]	[0.5, 0.5]
s03e16b	 oh.	['no']	[88.07001]	[0.5]
s03e16b	 good. different?	['good', 'different']	[88.990005, 89.91]	[0.5, 0.5]
s03e16b	 nobody	['nobody']	[91.83]	[0.480000000000004]
s03e16b	 likes change...	['likes', 'change']	[92.31, 92.63]	[0.3199999999999932, 0.5]
s03e16b	 i... you just	['right', 'now', 'just']	[93.455, 94.135, 94.815]	[0.5, 0.5, 0.04000000000000625]
s03e16b	 stop... what?	['what']	[94.895004]	[0.5]
s03e16b	 okay, okay,	['okay', 'okay']	[96.495, 98.015]	[0.5, 0.3199999999999932]
s03e16b	 okay-- okay. sh should we do something?	['should', 'we', 'do', 'something']	[98.335, 98.655, 98.815, 98.975]	[0.3200000000000074, 0.1599999999999966, 0.1599999999999966, 0.5]
s03e16b	 yeah. never cheat on rachel.	['yeah', 'never', 'cheat', 'on', 'rachel']	[99.615005, 100.015, 100.335, 100.575005, 100.735]	[0.3999950000000041, 0.3199999999999932, 0.24000500000001068, 0.159994999999995, 0.5]
s03e16b		[]	[]	[]
s03e16b	 i'm	"['ryan', ""i'm""]"	[103.520004, 103.920006]	[0.40000200000000063, 0.23999399999999582]
s03e16b	 sorry, okay? i'm sorry.	"['sorry', 'okay', ""i'm"", 'sorry']"	[104.16, 104.64, 105.04, 105.36]	[0.480000000000004, 0.4000000000000057, 0.3199999999999932, 0.3200000000000074]
s03e16b	 i was... i was disgusted	['i', 'i', 'was', 'disgusted']	[105.68, 106.0, 106.240005, 106.560005]	[0.3199999999999932, 0.24000499999999647, 0.3200000000000074, 0.5]
s03e16b	 with myself and this morning,	['with', 'myself', 'and', 'then', 'this', 'morning']	[107.200005, 107.36, 107.76, 107.920006, 108.16, 108.32]	[0.159994999999995, 0.4000000000000057, 0.16000599999999565, 0.23999399999999582, 0.1599999999999966, 0.3200000000000074]
s03e16b	 i was so...	['i', 'was', 'so', 'i', 'was', 'i', 'was']	[108.64, 108.8, 108.96, 109.200005, 109.28, 109.840004, 109.920006]	[0.1599999999999966, 0.1599999999999966, 0.24000500000001068, 0.07999499999999671, 0.5, 0.08000200000000746, 0.15999399999999753]
s03e16b	 so upset and then i got your message	['so', 'upset', 'and', 'then', 'i', 'got', 'your', 'message']	[110.08, 110.32, 110.64, 110.72, 110.880005, 110.96, 111.12, 111.28]	[0.23999999999999488, 0.3200000000000074, 0.0799999999999983, 0.16000499999999818, 0.07999499999999671, 0.1600000000000108, 0.1599999999999966, 0.32000599999999224]
s03e16b	 and i was so happy and all i	['and', 'i', 'was', 'so', 'happy', 'and', 'all', 'i']	[111.600006, 111.76, 111.840004, 112.095, 112.255, 112.495, 112.735, 112.895]	[0.15999400000001174, 0.0800039999999882, 0.17499600000000726, 0.1599999999999966, 0.2400000000000091, 0.23999999999999488, 0.1599999999999966, 0.0799999999999983]
s03e16b	 wanted was to get her out of my	['wanted', 'was', 'to', 'get', 'her', 'out', 'of', 'my']	[112.975, 113.375, 113.615, 113.695, 113.854996, 114.015, 114.335, 114.415]	[0.4000000000000057, 0.23999999999999488, 0.0799999999999983, 0.1599960000000067, 0.1600040000000007, 0.3199999999999932, 0.0800000000000125, 0.23999999999999488]
s03e16b	 apartment as fast as	['apartment', 'as', 'fast', 'as']	[114.655, 115.135, 115.375, 115.695]	[0.480000000000004, 0.23999999999999488, 0.3199999999999932, 0.1599960000000067]
s03e16b	 poss... whoa, whoa,	['woah', 'woah']	[116.095, 116.815]	[0.5, 0.5]
s03e16b	 whoa, wait a minute.	['woah', 'wait', 'a', 'minute']	[117.534996, 117.935, 118.255, 118.415]	[0.4000039999999956, 0.3199999999999932, 0.1600000000000108, 0.5]
s03e16b	 what	['what']	[120.335]	[0.2400000000000091]
s03e16b	 time did your little friend leave?	['time', 'did', 'your', 'little', 'friend', 'leave']	[120.575, 120.815, 120.975, 121.215, 121.375, 121.695]	[0.23999999999999488, 0.1599999999999966, 0.2400000000000091, 0.1599999999999966, 0.3199999999999932, 0.3050000000000068]
s03e16b	 uh...	['right']	[122.0]	[0.5]
s03e16b		[]	[]	[]
s03e16b		[]	[]	[]
s03e16b	 oh, my gosh. she	['oh', 'my', 'god', 'she']	[126.88, 127.12, 127.44, 127.92]	[0.2400000000000091, 0.3199999999999932, 0.480000000000004, 0.1600000000000108]
s03e16b	 was there... she was still	['was', 'there', 'she', 'was', 'still']	[128.08, 128.4, 128.8, 128.96, 129.12]	[0.3199999999999932, 0.4000000000000057, 0.1599999999999966, 0.1599999999999966, 0.3199999999999932]
s03e16b	 there? she was in there	['there', 'she', 'was', 'in', 'there']	[129.44, 130.145, 130.30501, 130.465, 130.745]	[0.5, 0.16000999999999976, 0.15998999999999342, 0.28000000000000114, 0.2800100000000043]
s03e16b	 when i was in there?!	['when', 'i', 'was', 'in', 'there']	[131.02501, 131.185, 131.345, 131.505, 131.66501]	[0.15998999999999342, 0.1599999999999966, 0.1599999999999966, 0.16000999999999976, 0.5]
s03e16b		[]	[]	[]
s03e16b	 oh! just...	['oh', 'jessica']	[134.545, 134.625]	[0.0800000000000125, 0.47999999999998977]
s03e16b	 get... out!	['get', 'to', 'work']	[135.105, 135.905, 136.30501]	[0.5, 0.40001000000000886, 0.5]
s03e16b	 listen-- oh, hey, hey,	['listen', 'little', 'hey', 'hey']	[137.345, 137.825, 138.065, 138.225]	[0.47999999999998977, 0.160000000000025, 0.1599999999999966, 0.3199999999999932]
s03e16b	 the important thing is she meant	['the', 'important', 'thing', 'is', 'she', 'meant', 'she']	[138.545, 138.705, 139.02501, 139.185, 139.345, 139.505, 139.77]	[0.160000000000025, 0.32000999999999635, 0.15998999999999342, 0.1599999999999966, 0.1599999999999966, 0.18500000000000227, 0.16000999999999976]
s03e16b	 nothing to me. and yet	['meant', 'nothing', 'to', 'me', 'and', 'yet']	[139.93001, 140.09, 140.57, 140.65001, 141.13, 141.37]	[0.15998999999999342, 0.47999999999998977, 0.08001000000001568, 0.4799899999999866, 0.2400000000000091, 0.1599999999999966]
s03e16b	 she was worth jeopardizing	['she', 'was', 'worth', 'jeopardizing']	[141.53, 141.69, 141.85, 142.17]	[0.1599999999999966, 0.1599999999999966, 0.3199999999999932, 0.5]
s03e16b	 our relationship!	['our', 'relationship']	[142.89, 143.21]	[0.3200000000000216, 0.5]
s03e16b		[]	[]	[]
s03e16b	 look, i didn't think there was a	"['look', 'i', ""didn't"", 'think', 'there', 'was', 'a']"	[145.77, 146.09, 146.33, 146.57, 146.73, 146.89, 147.13]	[0.3199999999999932, 0.2400000000000091, 0.23999999999998067, 0.1599999999999966, 0.1599999999999966, 0.2400000000000091, 0.0800000000000125]
s03e16b	 relationship to jeopardize. i thought	['relationship', 'to', 'i', 'thought']	[147.21, 147.85, 148.455, 148.69499]	[0.5, 0.4449999999999932, 0.2399899999999775, 0.08001000000001568]
s03e16b	 we were broken up. we were	['we', 'were', 'broken', 'up', 'we', 'were']	[148.775, 149.095, 149.255, 149.495, 150.055, 150.135]	[0.3199999999999932, 0.1599999999999966, 0.2400000000000091, 0.5, 0.07999999999998408, 0.2400000000000091]
s03e16b	 on a break. that, for all i	['on', 'a', 'break', 'that', 'for', 'all', 'i']	[150.375, 150.615, 150.775, 151.175, 151.415, 151.575, 151.735]	[0.2400000000000091, 0.1599999999999966, 0.4000000000000057, 0.23999999999998067, 0.1599999999999966, 0.160000000000025, 0.1599999999999966]
s03e16b	 knew, could last forever. that,	['knew', 'would', 'could', 'last', 'forever', 'that']	[151.895, 152.135, 152.375, 152.455, 152.69499, 153.175]	[0.23999999999998067, 0.1599999999999966, 0.0800000000000125, 0.2399899999999775, 0.48001000000002136, 0.23999999999998067]
s03e16b	 to me, is a breakup.	['to', 'me', 'is', 'a', 'breakup']	[153.415, 153.495, 153.655, 153.895, 154.135]	[0.0800000000000125, 0.1599999999999966, 0.2400000000000091, 0.23999999999998067, 0.5]
s03e16b	 you think you're going to get out of this on	"['you', 'think', ""you're"", 'gonna', 'get', 'out', 'of', 'this', 'on']"	[154.855, 155.015, 155.175, 155.33499, 155.495, 155.735, 155.815, 155.895, 156.135]	[0.1599999999999966, 0.160000000000025, 0.15998999999999342, 0.16000999999999976, 0.2400000000000091, 0.07999999999998408, 0.0800000000000125, 0.23999999999998067, 0.0800000000000125]
s03e16b	 a technicality? look, i'm not trying to	"['a', 'reality', ""i'm"", 'not', 'trying', 'to']"	[156.215, 156.8, 157.12, 157.2, 157.44, 157.68001]	[0.5, 0.3199999999999932, 0.07999999999998408, 0.2400000000000091, 0.24001000000001227, 0.15998999999999342]
s03e16b	 get out of anything,	['get', 'out', 'of', 'anything']	[157.84, 158.08, 158.32, 158.64]	[0.2400000000000091, 0.23999999999998067, 0.3199999999999932, 0.4800000000000182]
s03e16b	 okay? i thought our relationship	['okay', 'i', 'thought', 'our', 'relationship']	[159.12, 159.52, 159.76, 160.0, 160.24]	[0.4000000000000057, 0.23999999999998067, 0.2400000000000091, 0.2400000000000091, 0.47999999999998977]
s03e16b	 was dead. well, you	['was', 'dead', 'well', 'you']	[160.72, 160.96, 161.52, 162.16]	[0.2400000000000091, 0.5, 0.5, 0.2400000000000091]
s03e16b	 sure had a hell of a time	['sure', 'had', 'a', 'hell', 'of', 'a', 'time']	[162.4, 162.72, 162.88, 163.04001, 163.2, 163.36, 163.52]	[0.3199999999999932, 0.1599999999999966, 0.16000999999999976, 0.15998999999999342, 0.160000000000025, 0.1599999999999966, 0.23999999999998067]
s03e16b	 at the wake.	['at', 'the', 'wake', 'right']	[163.76, 163.92, 164.08, 164.575]	[0.1599999999999966, 0.160000000000025, 0.4949999999999761, 0.5]
s03e16b	 you	['you']	[166.575]	[0.160000000000025]
s03e16b	 know what? i don't think we should listen	"['know', 'what', 'i', ""don't"", 'think', 'we', 'should', 'listen']"	[166.735, 166.895, 167.455, 167.535, 167.775, 167.855, 168.015, 168.175]	[0.1599999999999966, 0.5, 0.07999999999998408, 0.2400000000000091, 0.07999999999998408, 0.1599999999999966, 0.160000000000025, 0.15998999999999342]
s03e16b	 to this anymore. what are	['to', 'this', 'anymore', 'what', 'what', 'are']	[168.33499, 168.415, 168.575, 168.815, 169.455, 169.69499]	[0.08000999999998726, 0.1599999999999966, 0.2400000000000091, 0.5, 0.2399899999999775, 0.16000999999999976]
s03e16b	 you doing? we can't go out	"['you', 'doing', 'i', ""can't"", 'go', 'out']"	[169.855, 169.935, 170.415, 170.575, 170.815, 171.055]	[0.0800000000000125, 0.47999999999998977, 0.1599999999999966, 0.2400000000000091, 0.2400000000000091, 0.07999999999998408]
s03e16b	 there. why not?	['there', 'why', 'not', 'right']	[171.135, 171.69499, 171.935, 172.61]	[0.5, 0.24001000000001227, 0.5, 0.07999999999998408]
s03e16b	 i'm hungry.	"[""i'm"", 'hungry']"	[172.69, 173.01]	[0.3199999999999932, 0.5]
s03e16b		[]	[]	[]
s03e16b	 because they'll know we've been listening.	"['because', ""they'll"", 'know', ""we've"", 'been', 'listening']"	[175.49, 175.89, 176.05, 176.29, 176.45, 176.61]	[0.39999999999997726, 0.160000000000025, 0.23999999999998067, 0.1599999999999966, 0.160000000000025, 0.5]
s03e16b	 god! and to have	"['god', ""i'd"", 'have']"	[177.73, 178.45, 178.61]	[0.5, 0.160000000000025, 0.1599999999999966]
s03e16b	 to hear about it from	['to', 'hear', 'about', 'it', 'from']	[178.77, 178.93, 179.17, 179.41, 179.65]	[0.1599999999999966, 0.23999999999998067, 0.2400000000000091, 0.2400000000000091, 0.4549999999999841]
s03e16b	 gunther! come on, like i	['right', 'there', 'come', 'on', 'like', 'i']	[180.265, 180.50499, 180.745, 181.065, 181.22499, 181.385]	[0.23999000000000592, 0.24001000000001227, 0.3199999999999932, 0.15998999999999342, 0.16000999999999976, 0.1599999999999966]
s03e16b	 wanted him to tell you? i ran all	['wanted', 'him', 'to', 'tell', 'you', 'i', 'ran', 'all']	[181.545, 181.78499, 181.94499, 182.105, 182.265, 182.50499, 182.665, 182.985]	[0.23999000000000592, 0.1599999999999966, 0.16000999999999976, 0.1599999999999966, 0.23999000000000592, 0.16000999999999976, 0.3200000000000216, 0.2399899999999775]
s03e16b	 over the place trying to make sure that	['over', 'the', 'place', 'trying', 'to', 'make', 'sure', 'that']	[183.22499, 183.385, 183.545, 183.78499, 184.025, 184.105, 184.265, 184.50499]	[0.16000999999999976, 0.1599999999999966, 0.23999000000000592, 0.24001000000001227, 0.07999999999998408, 0.1599999999999966, 0.23999000000000592, 0.16000999999999976]
s03e16b	 didn't happen.	"[""didn't"", 'happen']"	[184.665, 184.985]	[0.3200000000000216, 0.5]
s03e16b		[]	[]	[]
s03e16b	 oh, that is so	['oh', 'that', 'is', 'so']	[187.545, 187.86499, 188.105, 188.345]	[0.3199900000000184, 0.24000999999998385, 0.2400000000000091, 0.4000000000000057]
s03e16b	 sweet.	['sweet', 'right']	[188.745, 189.37]	[0.5, 0.5]
s03e16b	 i think i'm	"['i', 'think', ""i'm""]"	[191.29, 191.53, 191.76999]	[0.2400000000000091, 0.23999000000000592, 0.24000999999998385]
s03e16b	 falling in love with you all over	['falling', 'in', 'love', 'with', 'you', 'all', 'over']	[192.01, 192.33, 192.48999, 192.65, 192.73, 192.97, 193.20999]	[0.3200000000000216, 0.15998999999999342, 0.16000999999999976, 0.07999999999998408, 0.2400000000000091, 0.23999000000000592, 0.32000999999999635]
s03e16b	 again.	['again']	[193.53]	[0.5]
s03e16b	 you	['you']	[196.465]	[0.1599999999999966]
s03e16b	 know what? i think we can go out there.	['know', 'what', 'i', 'think', 'we', 'can', 'go', 'out', 'there', 'i']	[196.625, 196.705, 196.86499, 197.025, 197.265, 197.345, 197.50499, 197.665, 197.905, 198.025]	[0.0800000000000125, 0.15998999999999342, 0.16000999999999976, 0.23999999999998067, 0.0800000000000125, 0.15998999999999342, 0.16000999999999976, 0.2400000000000091, 0.12000000000000455, 0.11999000000000137]
s03e16b	 they have more important things to	['mean', 'they', 'have', 'more', 'important', 'things', 'to']	[198.14499, 198.385, 198.465, 198.705, 198.86499, 199.185, 199.42499]	[0.24000999999998385, 0.0800000000000125, 0.2400000000000091, 0.15998999999999342, 0.32000999999999635, 0.23999000000000592, 0.1599999999999966]
s03e16b	 worry about. yeah, we'll be	"['worry', 'about', 'yeah', ""we'll"", 'be']"	[199.58499, 199.825, 200.22499, 200.625, 200.86499]	[0.24000999999998385, 0.3999900000000025, 0.40001000000000886, 0.23999000000000592, 0.07999999999998408]
s03e16b	 fine. look, rachel, i	['fine', 'look', 'rachel', 'i']	[200.94499, 201.58499, 201.905, 202.385]	[0.5, 0.32000999999999635, 0.47999999999998977, 0.2400000000000091]
s03e16b	 wanted to tell you. i	['wanted', 'to', 'tell', 'you', 'i']	[202.625, 203.105, 203.265, 203.42499, 203.745]	[0.47999999999998977, 0.1599999999999966, 0.15999000000002184, 0.32000999999999635, 0.1599999999999966]
s03e16b	 thought i should, i did and	['thought', 'i', 'sure', 'i', 'i', 'did', 'and']	[203.905, 204.14499, 204.5, 204.66, 204.81999, 204.9, 205.22]	[0.23999000000000592, 0.27500999999998044, 0.1599999999999966, 0.15998999999999342, 0.08001000000001568, 0.3199999999999932, 0.1599999999999966]
s03e16b	 then chandler and joey convinced	['then', 'chandler', 'and', 'joey', 'convinced']	[205.38, 205.62, 205.94, 206.09999, 206.5]	[0.2400000000000091, 0.3199999999999932, 0.15998999999999342, 0.40001000000000886, 0.47999999999998977]
s03e16b	 me not to.	['me', 'not', 'to']	[206.98, 207.22, 207.45999]	[0.2400000000000091, 0.23999000000000592, 0.5]
s03e16b		[]	[]	[]
s03e16b		[]	[]	[]
s03e16b	 wax the	['wax', 'the']	[212.42, 212.865]	[0.3650000000000091, 0.07999999999998408]
s03e16b	 door shut. we're never leaving,	"['door', 'shut', ""we're"", 'never', 'leaving']"	[212.945, 213.185, 213.265, 213.425, 213.825]	[0.2400000000000091, 0.07999999999998408, 0.160000000000025, 0.39999999999997726, 0.3200000000000216]
s03e16b		['you']	[214.145]	[0.5]
s03e16b	 ever. hi. it's	"['hi', ""it's""]"	[216.625, 216.945]	[0.3199999999999932, 0.3199999999999932]
s03e16b	 phoebe. listen, someone's going to have to	"['phoebe', 'listen', ""someone's"", 'gonna', 'have', 'to']"	[217.265, 217.74501, 218.145, 218.465, 218.785, 218.865]	[0.48001000000002136, 0.3999900000000025, 0.3199999999999932, 0.3199999999999932, 0.0800000000000125, 0.07999999999998408]
s03e16b	 take my 9:00 with mr.	"['take', 'my', '9', ""o'clock"", 'mister']"	[218.945, 219.185, 219.345, 219.505, 220.08]	[0.2400000000000091, 0.1599999999999966, 0.1599999999999966, 0.41499999999999204, 0.3199999999999932]
s03e16b	 rehak because it's, like, 9:15	"['rehak', 'because', ""it's"", 'like', '9:15']"	[220.4, 220.8, 220.95999, 221.2, 221.44]	[0.4000000000000057, 0.15998999999999342, 0.24000999999998385, 0.2400000000000091, 0.5]
s03e16b	 now, and i'm not there.	"['now', 'and', ""i'm"", 'not', 'there']"	[222.16, 222.48, 222.56, 222.72, 222.95999]	[0.3199999999999932, 0.0800000000000125, 0.1599999999999966, 0.23999000000000592, 0.5]
s03e16b		[]	[]	[]
s03e16b	 no, i'm in	"['no', ""i'm"", ""i'm"", 'in']"	[225.68, 225.92, 226.08, 226.31999]	[0.23999999999998067, 0.160000000000025, 0.2399899999999775, 0.16000999999999976]
s03e16b	 the middle of a	['the', 'middle', 'of', 'a']	[226.48, 226.56, 226.8, 227.04]	[0.0800000000000125, 0.2400000000000091, 0.23999999999998067, 0.4800000000000182]
s03e16b	 huge relationship fight. oh,	['huge', 'relationship', 'fight', 'so']	[227.52, 228.0, 228.56, 228.95999]	[0.47999999999998977, 0.5, 0.3999900000000025, 0.5]
s03e16b	 that's all right. it's	"[""that's"", 'alright', ""it's""]"	[230.205, 230.445, 230.68501]	[0.23999999999998067, 0.24001000000001227, 0.15998999999999342]
s03e16b	 not mine.	['not', 'mine']	[230.845, 231.005]	[0.1599999999999966, 0.5]
s03e16b	 don't you realize	"[""don't"", 'you', 'realize']"	[232.68501, 233.005, 233.24501]	[0.31998999999999, 0.24001000000001227, 0.4799899999999866]
